Code,Year,population
LT,1987,3597439
LT,1988,3635295
LT,1989,3674802
LT,1990,3693708
LT,1991,3701968
LT,1992,3706299
LT,1993,3693929
LT,1994,3671296
LT,1995,3642991
LT,1996,3615212
LT,1997,3588013
LT,1998,3562261
LT,1999,3536401
LT,2000,3512074
LT,2001,3486998
LT,2002,3454637
LT,2003,3431497
LT,2004,3398929
LT,2005,3355220
LT,2006,3289835
LT,2007,3249983
LT,2008,3212605
LT,2009,3183856
LT,2010,3141976
LT,2011,3052588
LT,2012,3003641
LT,2013,2971905
LT,2014,2943472
LT,2015,2921262
LT,2016,2888558
LT,2017,2847904
LT,2018,2808901
LT,2019,2794184
LT,2020,2794090
LT,2021,2795680
LT,2022,2805998
LT,2023,2857279
LU,1977,360962
LU,1978,361753
LU,1979,362261
LU,1980,363450
LU,1981,364850
LU,1982,365600
LU,1983,365450
LU,1984,365794
LU,1985,366202
LU,1986,367210
LU,1987,369500
LU,1988,372000
LU,1989,374900
LU,1990,379300
LU,1991,384400
LU,1992,389600
LU,1993,394750
LU,1994,400200
LU,1995,405650
LU,1996,411600
LU,1997,416850
LU,1998,422050
LU,1999,427350
LU,2000,433600
LU,2001,439000
LU,2002,444050
LU,2003,448300
LU,2004,454960
LU,2005,461230
LU,2006,469086
LU,2007,476187
LU,2008,483799
LU,2009,493500
LU,2010,502066
LU,2011,511840
LU,2012,524853
LU,2013,537039
LU,2014,549680
LU,2015,562958
LU,2016,576249
LU,2017,590667
LU,2018,602005
LU,2019,613894
LU,2020,626108
LU,2021,634730
LU,2022,645397
LU,2023,660809
LV,1977,2477449
LV,1978,2492697
LV,1979,2503145
LV,1980,2508761
LV,1981,2514640
LV,1982,2524202
LV,1983,2537958
LV,1984,2554063
LV,1985,2570030
LV,1986,2587716
LV,1987,2612068
LV,1988,2641097
LV,1989,2665770
LV,1990,2668140
LV,1991,2658161
LV,1992,2643000
LV,1993,2585675
LV,1994,2540904
LV,1995,2500580
LV,1996,2469531
LV,1997,2444912
LV,1998,2420789
LV,1999,2399248
LV,2000,2381715
LV,2001,2353384
LV,2002,2320956
LV,2003,2299390
LV,2004,2276520
LV,2005,2249724
LV,2006,2227874
LV,2007,2208840
LV,2008,2191810
LV,2009,2162834
LV,2010,2120504
LV,2011,2074605
LV,2012,2044813
LV,2013,2023825
LV,2014,2001468
LV,2015,1986096
LV,2016,1968957
LV,2017,1950116
LV,2018,1934379
LV,2019,1919968
LV,2020,1907675
LV,2021,1893223
LV,2022,1875757
LV,2023,1883008
MC,2004,32828
MC,2005,33085
MD,2000,3644070
MD,2001,3635112
MD,2002,3627812
MD,2003,3618312
MD,2004,3607435
MD,2005,3600436
MD,2006,3589936
MD,2007,3581110
MD,2008,3572703
MD,2009,3567512
MD,2010,3563695
MD,2011,3560430
MD,2012,3559541
MD,2013,3559497
MD,2014,3557634
MD,2015,3555159
MD,2017,3550852
MD,2021,2597107
MD,2023,2512758
ME,2000,603152
ME,2001,605988
ME,2002,608460
ME,2003,610510
ME,2004,612214
